词语	极性
灰蒙蒙	0
智能型	1
晦暝	2
谆谆	1
昏黑	2
铮亮	1
鸾凤和鸣	1
板脸	0
抱疚	2
憋着一肚子气	2
愁惨	2
错愕	2
掉魂	2
发牢骚	2
烦神	2
忿忿不平	2
惶然不安	2
急死	2
介意	0
举棋不定	0
口诛笔伐	2
拉不下脸来	0
骂得狗血喷头	2
怒火冲天	0
气愤愤	0
歉然	0
人身攻击	2
数落	0
痛责	0
下不了台	0
杏眼圆睁	1
讶然失色	0
怔神儿	0
追悔莫及	0
彷徨	0
爱上	0
高山仰止	0
恨不得	0
祭拜	0
敬服	0
看上眼	0
梦魂萦绕	0
安好	1
如痴如狂	0
安泰	1
叹为观止	1
忘乎所以	0
尖嘴薄舌	2
艰苦卓绝	1
心如铁石	2
见风转舵	2
叩拜	0
倍儿棒	1
竭蹶	0
彪壮	0
博闻广识	1
不动摇	0
不落俗套	1
可骇	2
不泄气	1
才气横溢	1
空落落	0
枯寂	2
苦口	0
狂恣	2
老辣	2
肋脦	2
哩哩罗罗	2
凛然	1
伶仃	0
令人厌倦	2
碌碌无为	2
马马虎虎	2
莽莽撞撞	2
没骨头	2
没两下子	2
没心眼儿	2
迷糊	0
模棱两可	2
少见多怪	2
难上难	2
一塌糊涂	2
只顾自身利益	2
一个心眼儿	1
一级	1
有头脑	1
欣欣向荣	1
难驯服	2
闹闹嚷嚷	2
贫寒	0
铺张浪费	2
奇丑无比	2
气壮如牛	1
清苦	0
穷途潦倒	2
缺乏幽默	2
弱智	2
色迷迷	2
傻里傻气	2
神不知，鬼不觉	0
失落	0
食古不化	2
喧天	2
丰姿绰约	1
捉摸不定	2
特等	0
肝胆过人	1
高档化	1
高深莫测	0
革命性	1
功德无量	1
古朴	1
过得硬	1
很有抱负	1
数一数二	1
花容月貌	1
受吃	1
史无前例	1
圣礼	0
滑天下之大稽	2
生死不渝	0
深入人心	1
擅场	1
上赶	2
井然有序	1
举足轻重	1
人寿年丰	1
俊俏	1
确凿无疑	0
确定	0
老成练达	3
鼠胆	2
强势	0
浅显	0
心胸狭隘	2
性格内向	2
千姿百态	1
气度恢宏	1
起眼儿	0
越轨	2
令人大开眼界	1
完美无疵	1
朴实无华	1
无上光荣	1
有嘴无心	1
逸乐	1
心宽	1
无污染	1
无拘束	1
闻过则喜	1
谈吐不俗	1
名副其实	1
喷香	1
哀莫大于心死	2
安邦定国	1
金瓯无缺	1
我武惟扬	1
乃心王室	1
尽忠报国	1
杀身报国	1
忧国忘身	1
济世经邦	1
兴利除弊	1
猫鼠同处	2
四海鼎沸	2
出疆载质	2
委国听令	2
国步艰难	2
立国安邦	1
溽热	2
欢快	1
如意	1
得志	1
好日子	1
欢娱	1
庆幸	1
喜气	1
兴高采烈	1
快意	1
艳福	0
乐陶陶	1
逗人	1
眉开眼笑	1
笑逐言开	1
距跃三百	1
鹊笑鸠舞	1
神采飞扬	1
忍俊不禁	0
嫣然	1
笑噱	0
和颜悦色	1
胡敲梆子乱击磬－欢喜若狂	0
新媳妇怀孕－暗喜	0
侥幸	0
五世其昌	1
安乐窝	1
偏爱	0
挂牵	1
偏疼	2
娇惯	2
流连	0
顾惜	0
垂爱	0
乐此不疲	0
兴味	0
稀罕	1
一见钟情	0
挺拔	1
歆慕	0
心动	0
温顺	1
不忍释手	1
眷注	0
束身自修	1
难舍难分	1
老牛舔犊	1
渴望	0
热望	0
乖乖	1
和暖	1
温软	1
温情脉脉	1
可口	1
奇妙	0
尊崇	1
崇敬	1
称颂	1
传颂	1
颂扬	1
先烈	1
恭谨	1
万寿无疆	1
福寿年高	1
老前辈	0
从善如流	1
尊贵	1
拜恳	1
鼻祖	1
和婉	1
怡和	0
和顺	1
娴静	1
安逸	0
安居乐业	1
安适	1
思念	0
望眼欲穿	1
引人深思	0
妥靠	1
铁定	0
活脱脱	1
白璧无暇	1
标兵	1
不同凡响	1
诚挚	1
出色	1
恳挚	1
令人鼓舞	1
豪兴	1
善始善终	1
果断	1
机智	1
健美	1
侃侃而谈	1
淳朴	1
大显神通	1
动听	1
丰碑	1
刚毅	1
夸奖	1
肯切	1
力挽狂澜	1
流芳百世	1
美不胜收	1
感人肺腑	1
敏捷	1
能干	1
果敢	1
挺秀	1
娇娆	1
妙趣横生	1
披荆斩棘	1
气吞山河	1
前赴后继	1
勤勉	1
热诚	1
日新月异	1
神采奕奕	1
盛名	1
理解	0
大义灭亲	0
忠心	1
坦率	1
推心置腹	1
文从字顺	1
无微不至	1
闻名遐迩	1
严明	1
硬朗	1
优美	1
惊佩	1
整洁	1
周到	1
节烈	1
慈善	1
正大	1
堂堂正正	1
朴直	1
洁身自好	1
笃厚	1
憨厚	1
妥实	1
执着	1
不屈	1
勇武	1
初生牛犊	1
大度	1
虚心	1
浩气	1
悃诚	1
肝胆相照	1
天公地道	1
儒雅	1
赳赳	1
好强	1
道德	1
倜傥	1
安分	1
脆生	1
赞扬	1
矢志不渝	1
旱苗得雨	0
假以辞色	1
亲切	1
神韵	1
含蓼问疾	1
情同骨肉	0
精确	0
凉爽	0
深思熟虑	0
繁华	1
健壮	1
辽阔	1
轻捷	1
适当	1
香喷喷	1
雄厚	1
准确	1
清洌	1
宽大为怀	1
代代红	1
急若流星	0
舍己救人	1
匡救	1
驰援	1
咏赞	1
称道	1
赞叹不已	1
娟秀	1
秀媚	1
分外夺目	1
毫不利己	1
廉明	1
道不拾遗	1
圣人	1
贤良	1
势不可当	1
惊天动地	0
准儿	1
其味无穷	0
入木三分	1
流芳千古	1
声名远播	1
有头有脸	1
精美绝伦	1
独占鳌头	1
一枝独秀	1
独具匠心	1
鹤立鸡群	1
不赖	1
钢铁长城	1
帮扶	1
宝地	1
报答	1
辈出	1
愤懑	2
悲愤	0
勃然大怒	0
含怒	0
恼羞成怒	0
忿怒	0
七窍生烟	0
发标	0
怒容	0
吹胡子	0
唱老生的生气－吹胡子瞪眼镜	0
暴跳如雷	2
戟指怒目	2
怒形于色	2
怒目切齿	2
城下之盟	2
悲恸	0
悲哀	0
悲伤	0
衔冤	0
心如刀割	0
痛惜	0
悲酸	0
举目无亲	0
洒泪	0
啜泣	0
号啕	0
最后一根稻草	0
抚髀兴叹	2
参辰卯酉	0
倒霉	0
哀感天地	0
惨不忍闻	0
不胜其苦	0
叹息	0
悲号	0
诚惶诚恐	0
魂飞魄散	0
面如土色	0
疑惧	0
幽灵	0
三伏天发抖－不寒而栗	0
吞吞吐吐	2
不可终日	0
栗栗危惧	0
夏日可畏	2
败类	1
剥削	2
猖獗	2
臭架子	2
苟延残喘	2
悍然	2
伎俩	2
党羽	2
讹诈	2
飞扬跋扈	2
复辟	2
老狐狸	2
笼络	2
厌恶	2
可憎	2
叛徒	2
欺凌	2
敲诈	2
屈辱	2
轻蔑	2
撒赖	2
伤天害理	2
为所欲为	2
乌合之众	2
吸血鬼	2
阴谋	2
指鹿为马	2
罪有应得	2
看轻	2
兽行	2
贪色	2
作践	2
凶相毕露	2
棺材老板咬牙－恨不死人	2
行同狗彘	2
视如寇仇	2
切齿腐心	2
令人作呕	2
不以为然	2
文人相轻	2
王八蛋	2
姘妇	2
揶揄	2
癞皮狗	2
元凶	2
妖孽	2
骚货	2
中伤	2
嘈杂	2
苦恼	0
犯愁	0
颓然	0
忍气吞声	0
不耐烦	0
焦炙	0
疑念	0
愧恨	0
沉寂	0
愁肠寸断	2
忧心如薰	2
生吞蜈蚣－百爪挠心	2
贫穷	0
无所措手足	2
不如意事常八九	2
燥热	2
将就	0
羞愧	0
脸红	0
无面目见江东父老	2
抱愧	0
愧怍	0
悔恨	0
涵容	0
愧悔无地	0
船到江心补漏迟	2
慌乱	0
如坐针毡	0
心焦	0
张皇	2
浮躁	2
周章	0
心如悬旌	2
鞋里长草－慌了脚	0
紧急	0
五色无主	0
脚忙手乱	2
心如火焚	2
死心	0
心灰意冷	0
不可企及	2
怀揣冰棍－凉透心	0
嫉妒	2
醋意	2
忧人发迹怕自穷	0
猜忌	2
疑团	0
田里的蚯蚓－满肚疑	0
败家子	2
闭门造车	2
草包	2
乘人之危	2
记仇	2
妄求	2
累世通好	1
人浮于事	2
繁荣昌盛	1
鸿均之世	1
年丰时稔	1
五风十雨	1
分崩离析	2
人欲横流	2
拨乱反治	1
秋荼密网	2
抑塞磊落	1
鞭笞天下	1
腹中兵甲	1
牛刀小试	1
臣门如市，臣心如水	1
欺瞒夹账	2
卖官鬻狱	2
口快心直	1
夺人所好	2
营私舞弊	2
缓急相济	1
久要不忘	1
言而不渝	1
卖友求荣	2
废奢长俭	1
宽打窄用	1
斫雕为朴	1
金迷纸醉	2
天下箸处	2
别具只眼	1
推陈出新	1
地利人和	1
一路顺风	1
难于上天	0
矢志不愈	1
称体裁衣	1
刚克柔克	1
知之为知之，不知为不知	1
唱筹量沙	2
以人废言	2
越凫楚乙	2
东躲西藏	2
大相径庭	2
判若云泥	2
天悬地隔	0
坠茵落溷	2
力疾从公	1
握蛇骑虎	0
日暮穷途	0
一板三眼	1
山重水复	0
抱火寝薪	0
三反四覆	2
归全反真	1
再作冯妇	1
智者千虑，必有一失	0
与人为善	1
同归于尽	2
良工巧匠	1
艺高胆大	1
三对六面	0
火上浇油	2
变古易常	1
先天不足	2
道高一尺，魔高一仗	0
摇身一变	0
乘风转舵	2
以火救火	2
海阔天空	1
善气迎人	1
珠联璧合	1
敢怒不敢言	2
麟角凤嘴	1
致死不悟	2
我行我素	2
五马分尸	2
黄口稚子	2
天有不测风云	2
茫无头绪	2
不知天高地厚	2
洞房花烛	1
干啼湿哭	0
泣下沾襟	0
嘘唏不已	0
三媒六证	0
哑然失笑	0
陶猗之家	1
峻宇雕墙	1
立锥之地	2
赏信罚明	1
黄道吉日	1
旁门左道	2
大难临头	2
骨瘦如柴	2
药店飞龙	2
不治之症	2
披麻戴孝	0
鳏寡孤独	0
离群索居	0
相门有相	0
驰名天下	1
名标青史	1
人死留名	1
谈笑风生	1
不经之谈	2
混为一谈	2
游谈无根	2
巧言花语	2
口头禅	2
多嘴多舌	2
唠唠叨叨	2
絮絮叨叨	2
即即世世	2
顾名思义	0
随时制宜	1
没齿不忘	1
顿开茅塞	1
了若指掌	1
先知先觉	1
抚躬责己	1
隐晦曲折	2
耳食之谈	2
靠天吃饭	0
强龙不压地头蛇	2
倚官仗势	2
不耕而食，不蚕而衣	2
欺罔视听	2
甜嘴蜜舌	2
鸿飞冥冥	1
前门进虎，后门进狼	2
在劫难逃	2
草衣木食	2
等米下锅	2
家道壁立	2
纳履踵决	2
飞短流长	2
薏苡明珠	2
利息秋毫	1
关门闭户	0
豺狐之心	2
瓜蔓抄	2
玉粒桂薪	2
债台高筑	2
刚毅不讷	1
无拳无勇	2
鞍不离马，甲不离身	1
枕戈待旦	1
迟疑不决	2
仓卒应战	2
犹豫不定	2
低首下心	2
盖不由己	2
锱铢必较	2
张公吃酒李公醉	2
鼠窜狼奔	2
嘴甜心苦	2
强盗挂念珠	2
见事风生	2
报仇雪恨	2
招权纳赂	2
缓不济急	0
屏声息气	0
歧路亡羊	2
千了百当	1
冬扇夏炉	2
喧宾夺主	2
日月交食	2
漏脯充饥	2
束手待毙	2
抛头露面	2
原形毕露	2
因祸得福	1
人民城郭	2
联翩而至	0
自相残杀	2
强人所难	2
有隙可乘	2
欺善怕恶	2
肆意横行	2
横行天下	2
知情不举	2
博士买驴	2
屦贱踊贵	2
结党营私	2
招降纳叛	2
任其自便	2
惹祸招殃	2
招风惹草	2
鼓噪而起	2
出乖露丑	2
谏鼓谤木	1
高下在心	1
殚智竭力	1
草草收兵	2
图谋不轨	2
贪欢逐乐	2
春深似海	1
天朗气清	1
秋高气肃	1
天府之国	1
群芳竟艳	1
绿水青山	1
光彩耀日	1
除恶务尽	0
评头品足	2
胆大包天	2
涸泽而渔	2
搔头弄姿	2
逼上梁山	0
反客为主	3
小试锋芒	1
左右开弓	1
出口成章	1
兼资文武	1
陆海潘江	1
七步成诗	1
神机妙算	1
胸中甲兵	1
卓荦超伦	1
殚见洽文	1
闳大不经	1
通人达才	1
蜀犬吠日	2
真知灼见	1
白日升天	1
破壁飞去	1
彪炳千古	1
涉笔成趣	1
赞不绝口	1
折足覆餗	2
土牛木马	2
玉卮无当	2
鸠形鹄面	2
时通运泰	1
放歌纵酒	1
凤冠霞帔	1
桃李满天下	1
再造之恩	1
藏器待时	1
可操左券	1
根深叶茂	1
一箭双雕	1
功高不赏	1
不遗余力	1
兼功自厉	1
卧薪尝胆	1
拔树寻根	1
明目达聪	1
手到病除	1
胆略兼人	1
凤鸣朝阳	1
鸾翔凤集	1
祥麟威凤	1
下笔有神	1
未雨绸缪	1
仙风道骨	1
一表堂堂	1
感恩图报	1
妙处不传	1
如闻其声，如见其人	1
危言危行	1
执法不阿	1
平地楼台	1
福至心灵	1
改弦易辙	0
风樯阵马	1
饮醇自醉	1
人自为战	1
及锋而试	1
兵强将勇	1
节节胜利	1
所向披靡	1
熊罴之师	1
择善而从	1
孺子可教	1
改邪归正	1
一改故辙	1
袒裼裸裎	2
苟合取容	2
头童齿豁	0
如到宝山空手回	2
大厦将倾，一木难支	2
兵败如山倒	2
弃甲倒戈	2
望风破胆	2
彩凤随鸦	2
一事无成	2
不肖子孙	2
虚度年华	2
怙恶不悛	2
一丘之貉	2
偷东摸西	2
紧行无好步	0
放虎自卫	2
谬种流传	2
粗服乱头	2
阿其所好	2
冥室椟棺	2
不辨龙蛇	2
鹦鹉学舌	2
投机倒把	2
以耳为目	2
咎由自取	2
引狗入寨	2
自讨没趣	2
姗姗来迟	2
何其相似乃尔	0
倾家荡产	0
蠹众木折	2
化为泡影	0
尺布斗栗	0
漏泄春光	0
摇旗打鼓	0
徙宅忘妻	2
恃勇轻敌	2
伯歌季舞	1
欢喜冤家	0
金石交	0
笙磬同音	0
竹马之好	0
傥来之物	0
平地一声雷	0
君子之交	1
单相思	0
赤身露体	0
淡妆浓抹	2
逼真逼肖	1
格物穷理	0
去伪存真	1
追本穷源	0
流言止于智者	0
杅穿皮蠹	0
丁一确二	1
明辨是非	1
南征北战	0
拐弯抹角	2
虚情假意	2
奋勇当先	1
身先士卒	1
碧血丹心	1
食少事繁	1
风雨同舟	1
问安视膳	1
敬而远之	2
敬贤礼士	1
尊师重道	1
得薄能鲜	2
马齿徒增	2
昂首望天	2
独弦哀歌	2
居功自傲	2
自高其功	2
贪名爱利	2
封豕长蛇	2
蛇吞象	2
眼馋肚饱	2
xixi	0
葱白	1
我去	0
BS	2
CC	1
无语	2
八婆	2
超爽	0
包子	2
_god	0
爱老虎油	1
呕像	2
MPJ	2
固执	2
浑水摸鱼	2
得寸进尺	2
尔虞我诈	2
空洞	2
婆婆妈妈	2
滥竽充数	2
猎取	2
蛮横	2
擅自	2
拈轻怕重	2
漠然	2
怨尤	2
暴烈	2
偏见	0
招摇	2
千篇一律	2
骄矜	2
求全责备	2
势利	2
挑剔	2
偷懒	2
畏葸不前	2
无稽之谈	2
无中生有	2
犯疑心病	2
叶公好龙	2
变节	2
灭绝人性	2
奸险	2
猥劣	2
奸诈	2
诡诈	2
浇薄	2
虚骄	2
不自量力	2
老气横秋	2
狂气	2
刚愎	2
小心眼	2
陋习	2
阳奉阴违	2
随风倒	2
自私自利	2
鄙俗	2
蛮不讲理	2
轻率	2
愚鲁	2
摇头摆尾	2
蠢笨	2
愚顽	2
儇薄	2
水性杨花	2
贪嘴	2
愚直	2
怪诞	2
浮皮潦草	2
毛手毛脚	2
食言	2
鬼祟	2
出圈儿	2
奴颜媚骨	2
欺哄	2
耍滑	2
耍赖	2
恣意妄为	2
闲散	2
兔死狗烹	2
蛮勇	2
自恋	2
有勇无谋	2
不识人间有羞耻事	2
辱门败户	2
慢腾腾	2
人心似铁	2
盲用	2
慢慢吞吞	2
孤行己见	2
强横霸道	2
萧规曹随	2
左右袒	2
干巴	2
化公为私	2
权欲熏心	2
猥鄙	2
膏粱子弟	2
淫秽	2
艳情	2
口角	2
冷酷无情	2
有理无情	2
耍滑头	2
身单力薄	2
错误百出	2
生吞活剥	2
臭名昭著	2
发酸	0
言之无物	2
傲物	2
摆款儿	2
板荡	2
暴政	2
兵痞	2
财迷	2
向着	2
桑梓之念	0
惊吓	0
心血来潮	2
享乐	2
惊诧	0
怪讶	0
平定	0
精湛	1
冰心	1
并力	1
博雅	1
才赋	1
才学	1
苍郁	1
长技	1
草寇	2
插足	2
谗佞	2
伥鬼	2
吵人	2
尘嚣	2
称霸	2
超卓	1
沉挚	1
成名	1
吃心	2
齿冷	2
忡忡	2
丑事	2
承教	1
骋目	0
崇信	1
出蓝	1
创举	1
憷头	2
春山	1
纯稚	1
吹擂	2
蠢话	2
刺儿话	2
窜犯	2
篡位	2
错会	2
呆子	2
刀俎	2
盗匪	2
盗用	2
桂冠	1
国光	1
国威	1
酣眠	1
敌特	2
颠沛	2
丢份	2
毒贩	2
赌棍	2
断代	0
恶疾	2
恶性	2
贰臣	2
法盲	2
反侧	2
饭桶	2
放刁	2
非人	2
匪祸	2
分赃	2
奉迎	2
浮夸	2
负隅	2
官僚	2
惯贼	2
淳古	1
慈怜	1
葱郁	1
翠蓝	1
存问	0
打躬	1
大观	1
大士	1
大雅	1
黛紫	0
当先	0
鬼子	2
得救	0
得中	1
砥柱	1
叮咛	0
国耻	2
过头	2
黑金	2
后门	2
虎口	0
幻灭	2
谎话	2
毁约	2
秽行	2
混账	2
挤占	2
假手	2
进犯	2
拘牵	2
懒怠	2
空论	2
懂行	1
洞究	1
宽纵	2
独步	1
笃学	1
端平	1
墩劝	1
夺魁	0
发奋	1
发展	0
繁盛	1
芳烈	1
放达	1
飞灵	1
肥壮	1
丰饶	1
富源	1
改过	1
甘贵	0
刚性	1
高档	1
高朗	1
捞摸	2
勒抑	2
冷遇	2
敛财	2
凌夷	2
流气	2
高爽	1
露丑	2
乱民	2
沦丧	2
落套	2
埋汰	2
毛子	2
没样儿	2
媚外	2
密谋	2
冥顽	2
高升	0
更生	1
工稳	1
攻书	1
公认	1
挂记	0
磨烦	2
观止	1
贯彻	0
光溜	1
呶呶	2
闹架	2
闹灾	2
国本	0
啮噬	2
奴化	2
殴打	2
攀诬	2
旁骛	2
好评	1
皮囊	2
偏差	2
剽取	2
破财	0
歧途	2
起哄	2
前愆	2
枪替	2
抢劫	2
浩浩	0
贺匾	1
贺喜	1
红星	1
洪钟	1
宏论	1
护佑	1
华彩	1
欢歌	1
欢宴	1
挥毫	1
回归	1
活溜	1
积德	1
吉期	1
窃夺	2
侵袭	2
倾轧	2
求全	2
取闹	2
缺点	2
饶舌	2
认头	2
辱命	2
杀机	2
蛇头	2
生事	2
失范	2
失算	2
手黑	2
受苦	0
受制	2
衰颓	2
搜刮	2
损伤	2
贪贿	2
逃兵	2
体罚	2
偷盗	2
透顶	2
蜕化	2
歪理	2
顽梗	2
妄人	2
威胁	2
违纪	2
窝主	2
芜杂	2
嬉皮士	2
瞎扯	2
嫌忌	2
险阻	2
萧索	2
邪魔	2
泄密	2
凶犯	2
凶杀	2
熊包	2
虚话	2
虚妄	2
眩惑	2
压制	2
掩饰	2
妖风	2
窑子	2
一窝蜂	2
疑忌	2
异端	2
阴湿	2
淫画	2
引诱	2
庸才	2
诱胁	2
迂气	2
愚民	2
郁然	2
冤孽	2
怨仇	2
怨懑	2
钦慕	1
勤勤	1
清官	1
杂念	2
灾祸	2
佳境	1
不甘心	0
精卫填海	1
美好	1
至交	1
偏袒	2
心如死灰	0
见长	1
价廉质优	1
一尘不染	1
榜样	1
拨弄	2
光棍	2
憎恶	0
精悍	1
不足挂齿	2
懒散	2
粗重	0
惊人	0
英武	1
不甘	0
虚伪	2
融融	1
遗臭万年	2
息事宁人	0
自在	0
坏事	2
崩溃	0
得过且过	2
宽容	1
自得其乐	1
心惊肉跳	0
恋爱	0
赘疣	2
萧瑟	0
高贵	1
英豪	1
摆布	2
丝丝入扣	1
体贴入微	1
妻离子散	0
告捷	1
打掩护	2
尸位素餐	2
操持	1
漠不关心	2
栩栩如生	1
服帖	0
长上	0
有头无尾	2
安然	0
妖媚	2
碌碌	2
不周	2
仰望	1
鼠辈	2
幼稚	2
风声鹤唳	0
传家宝	1
杞人忧天	2
功德	1
天香国色	1
平庸	2
无所事事	2
高明	1
驴唇不对马嘴	2
实心实意	0
私自	2
喜欢	1
陷落	0
心慌意乱	0
百孔千疮	2
疏忽	2
老调	2
放火	2
荒漠	0
丰盈	1
蠢动	2
笃实	1
牵连	0
功勋	1
天翻地覆	2
烦扰	2
敞亮	1
祸胎	2
心虚	2
模范	1
实在	1
高人	1
昏沉	0
平缓	0
身不由己	0
欠缺	0
千钧一发	0
马大哈	2
光洁	1
怀恋	0
花魁	1
沉痛	0
虚度	2
徘徊	0
幌子	2
水到渠成	1
丢脸	2
鞭辟入里	1
畜生	2
赤裸裸	2
有口皆碑	1
出头	0
有血有肉	1
迎刃而解	1
狂暴	2
说嘴	2
玲珑	1
愁眉不展	0
侈谈	2
纷乱	2
浓郁	1
天衣无缝	1
拐子	2
泛泛	0
好听	1
软弱	2
对眼	1
莫须有	2
沉痼	2
拘泥	2
空想	2
见不得人	2
精雕细刻	1
响当当	1
半半拉拉	2
岔子	2
抬杠	2
先人后己	1
倚重	0
抽风	2
疙瘩	0
惨绝人寰	2
恢弘	1
好人	1
前辈	0
零星	0
危亡	0
困顿	0
瞎说	2
急转直下	2
解决	0
融融	1
阎罗	1
便民	1
惶惶不可终日	0
亮堂	1
甜美	1
天翻地覆	1
销魂	0
荒废	2
凌虐	2
痛快淋漓	1
动人	1
垂头丧气	0
背时	2
洋洋	1
阴沉	0
栽赃	2
脏污	2
噪聒	2
责罚	2
贼赃	2
肢解	2
滞销	2
清顺	0
清越	1
轻俏	1
晴好	1
庆贺	1
全胜	1
热火	1
任侠	1
柔润	1
睿智	1
善行	1
神力	1
省心	1
盛况	1
盛赞	1
诗意	1
爽健	1
肃然	1
周折	2
装糊涂	2
捉弄	2
滋事	2
走内线	2
嘴长	2
罪孽	2
作死	2
坐误	2
腾欢	1
贴心	1
同乐	1
婉丽	1
温婉	1
稳静	1
沃饶	1
无双	1
细嫩	1
先哲	1
纤巧	1
相成	1
骁健	1
心秀	1
兴隆	1
寄怀	1
雄踞	1
雄图	1
秀润	1
煊赫	1
勋劳	1
雅怀	1
嫣红	1
延誉	1
扬名	1
毅勇	1
英风	1
英秀	1
莹莹	1
勇决	1
优礼	1
幽韵	1
有素	1
圆浑	1
佳肴	1
兼顾	1
坚挺	1
简质	1
举荐	1
见地	1
见效	1
江山	1
奖赏	1
姣妍	1
姣美	1
佼佼	1
教益	1
解渴	1
巾帼	1
金汤	1
匀实	1
赞服	1
战鹰	1
珍宝	1
珍闻	1
正论	1
指教	1
至品	1
致力	1
智巧	1
忠言	1
壮健	1
拙直	1
卓异	1
滋养	1
进展	1
晋职	1
尊严	1
尽欢	1
精本	1
精进	1
精敏	1
精通	1
精一	1
景气	1
净化	1
敬养	1
炯然	1
救星	1
巨构	1
捐躯	1
婞直	1
爱搭不理	2
岸然	1
板板六十四	2
背地里	2
秉性剌戾	2
站得高，看得远	1
有礼貌	1
因材施教	1
唯命是从	2
心地善良	1
秀色可餐	1
不到黄河心不死	2
有价值	1
不对茬儿	2
郑重其事	1
郁郁葱葱	1
雍容华贵	1
绚丽多彩	1
胸怀坦白	1
不敬	2
值钱	1
味道鲜	1
手无缚鸡之力	2
体力不支	2
私下	2
松散散	2
太随便	2
蜕化变质	2
唯我独尊	2
无价值	2
无吸引力	2
险象环生	2
不名一文	2
不清不楚	2
不妥	2
不宜	2
不羁	0
惨无人道	2
有意义	1
玄远	1
岌岌不可终日	2
罪恶深重	2
朝不虑夕	2
吃不开	2
臭气冲天	2
大错而特错	2
呆钝	2
道德败坏	2
低人一等	2
刁恶	2
短视	2
繁复	2
废旧	2
腐朽没落	2
疙里疙瘩	2
孤孤单单	2
寡了叭叽	2
怪里怪气	2
含糊其词	2
毫无价值	2
黑灯瞎火	2
黑黢黢	2
糊糊涂涂	2
荒诞无稽	2
荒瘠	2
灰头灰脸	2
智勇双全	1
炙手可热	2
忠心赤胆	1
准点	1
足智多谋	1
最新	1
矍铄	1
娉婷	1
璞玉浑金	1
婚外	2
虔心	1
搥胸顿足	0
板面孔	0
不待见	2
猜疑	2
千里馈粮	2
愁眉紧锁	0
打骂	2
堵得慌	2
发怔	2
烦厌	2
骇然失色	2
后悔莫及	2
悔不该	2
急眼	2
看扁	2
哭丧着脸	2
拉长个脸	0
脸红耳热	0
骂骂咧咧	2
闷郁	0
怒骂	0
气鼓鼓	0
瞧不上	0
柔肠百结	2
说风凉话	2
投诉	0
向隅而泣	0
心惊胆颤	0
羞臊	0
讶异	0
幽忧	0
战兢兢	0
怔怔	0
自疚	0
怅然	0
称心如愿	0
妒火中烧	0
给脸	0
恨不能	0
祭奠	0
敬贺	2
考究	0
酷好	0
梦寐以求	0
安然无事	0
期盼	0
翘企	0
如痴如醉	0
家贫如洗	0
疼惜	0
和蔼	1
喜盈盈	1
楚楚可人	1
小里小气	2
奸恶	2
见识短浅	2
叩首	0
狡计多端	2
结结巴巴	0
精力枯竭	0
窘急	0
剧毒	2
博闻强记	1
不费吹灰之力	0
可惊	0
不厌其烦	1
才思敏捷	1
沉鱼落雁	1
狂傲	2
困难重重	0
出以公心	1
狼籍	2
纯厚	1
老派	2
冷峻	2
离心离德	2
哩溜歪斜	2
大名鼎鼎	1
了不得	2
调谐	1
